,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,main_artist,song_name
11,0.868,0.538,5,-8.603,1,0.174,0.269,3.34e-06,0.0901,0.732,99.968,2IGMVunIBsBLtEQyoI1Mu7,231750,4,Doja Cat,Paint The Town Red
12,0.808,0.634,2,-6.764,0,0.172,0.0851,0.0,0.127,0.569,100.03,4RoKNqyZ9622tcAeNPNv5k,153347,4,Burna Boy,City Boys
13,0.688,0.625,7,-7.307,0,0.387,0.166,0.000117,0.297,0.617,174.946,7rWUc4LuZ081oZ9VBZd6JK,158011,4,Skrapz,Normal
14,0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,42VsgItocQwOQC3XWZ8JNA,191701,4,Travis Scott,FE!N (feat. Playboi Carti)
15,0.787,0.57,3,-5.881,1,0.225,0.0449,0.0,0.135,0.733,142.974,6T7FXSuXykeGktMLGp8WgE,223879,4,Lil Durk,All My Life (feat. J. Cole)
16,0.595,0.267,0,-10.23,1,0.0308,0.836,0.0,0.158,0.229,105.205,18QC5FsQ9FThInUrC6BScS,186540,4,Snoh Aalegra,Be My Summer
17,0.715,0.342,4,-11.173,1,0.0453,0.931,1.59e-06,0.104,0.191,122.894,6IP1bADkxA9cLKSnlccgvb,162317,4,Melina Do Rosario,Need No Lover
18,0.798,0.838,6,-3.385,1,0.173,0.0735,0.0,0.271,0.911,160.062,1bUhj0j6akbGxinxsVe6PR,157509,4,Flyana Boss,You Wish (with Missy Elliott & Kaliii) – Remix
19,0.847,0.434,5,-6.474,0,0.0382,0.0226,0.0673,0.087,0.293,129.967,79DPYZ6x8FfzgSgPoPhpC3,216348,4,Nicki Minaj,Last Time I Saw You
20,0.74,0.758,1,-5.851,0,0.0921,0.061,1.44e-06,0.0967,0.757,171.925,73RbfOTJIjHzi2pcVHjeHM,189825,4,Doechii,What It Is (Solo Version)
21,0.817,0.44,10,-8.482,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,7aRCf5cLOFN1U7kvtChY1G,272113,4,Drake,Search & Rescue
22,0.686,0.897,11,-7.18,0,0.0386,0.0103,0.103,0.153,0.355,129.975,0FA4wrjDJvJTTU8AepZTup,163139,4,Lil Uzi Vert,Watch This - ARIZONATEARS Pluggnb Remix
23,0.557,0.774,7,-5.275,0,0.351,0.012,0.0,0.396,0.397,111.975,67nepsnrcZkowTxMWigSbb,246134,4,Travis Scott,MELTDOWN (feat. Drake)
24,0.525,0.42,2,-10.085,1,0.125,0.699,8.43e-06,0.193,0.354,131.57,52hSgk5YbiBmdDdIrGDPsd,181453,4,Teezo Touchdown,You Thought (feat. Janelle Monáe)
25,0.753,0.669,7,-4.914,0,0.104,0.0378,0.0,0.122,0.584,140.948,0J1YRLYhTG1MBosjidD7OI,247469,4,USHER,Good Good
26,0.67,0.562,5,-7.653,0,0.233,0.252,0.0,0.242,0.18,97.919,4hGmQboiou09EwhcTWa0H6,230311,4,Diddy,"Another One Of Me (feat. The Weeknd, French Montana and 21 Savage)"
27,0.738,0.577,1,-4.916,1,0.322,0.00837,0.0,0.117,0.341,154.996,1gxAYSMc1jbibsnpT3Rflc,165866,4,Sexyy Red,Hellcats SRTs 2 (with Lil Durk)
28,0.857,0.858,1,-4.6,0,0.288,0.31,4.26e-06,0.143,0.749,144.032,4W8hCr8DuzuTkvDj895CeZ,202222,4,K-Trap,PARK CHINOIS
29,0.85,0.593,2,-7.784,1,0.364,0.735,5.44e-05,0.159,0.561,142.05,0Nw5ZlshQVPqQvIohg8QGp,175882,4,Ceechynaa,Last laugh
30,0.641,0.577,3,-6.948,1,0.16,0.262,3.18e-05,0.131,0.439,96.026,6Sjfvyk5dEtdGFPCF37mYe,180157,4,Nasty C,Endless
31,0.589,0.661,1,-9.031,1,0.28,0.0166,1.35e-05,0.158,0.619,217.969,4yZIlBKbrvOfQlhR0oZvwS,144027,4,Ayra Starr,Rhythm & Blues
32,0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,741UUVE2kuITl0c6zuqqbO,109750,4,Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album]
33,0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,6wsqVwoiVH2kde4k4KKAFU,211582,4,Travis Scott,I KNOW ?
34,0.599,0.526,9,-7.812,0,0.0385,0.0408,0.00256,0.209,0.134,90.018,6Ec5LeRzkisa5KJtwLfOoW,256027,4,Metro Boomin,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)"
35,0.813,0.791,11,-6.899,0,0.111,0.316,0.000165,0.124,0.404,94.063,55Q180Og5mkW2XeGPjB7yn,259628,4,Morad,Se Grita
36,0.823,0.388,1,-10.867,1,0.491,0.0187,0.0,0.0876,0.507,154.569,7sliFe6W30tPBPh6dvZsIH,139326,4,Kaliii,Area Codes
37,0.898,0.676,9,-5.196,1,0.187,0.14,0.0,0.101,0.742,147.991,0ZxhtATQ0a6EvQNZ0z6NKV,172125,4,Ice Spice,Princess Diana (with Nicki Minaj)
38,0.908,0.757,11,-3.889,0,0.0606,0.015,0.0,0.0673,0.577,106.031,4lMyi03aRk8nPBLLGyqAVz,134425,4,NLE Choppa,It's Getting Hot
39,0.736,0.645,1,-5.195,1,0.0807,0.0724,0.00086,0.136,0.201,132.024,4367dXCt02KMgELPisJ2D4,188870,3,Lil Tecca,HVN ON EARTH (with Kodak Black)
40,0.814,0.618,5,-5.614,0,0.0619,0.0386,3.34e-06,0.671,0.535,121.075,5L3ecxQnQ9qTBmnLQiwf0C,185221,4,Travis Scott,K-POP
41,0.644,0.879,6,-5.204,0,0.0761,0.00423,6.91e-06,0.286,0.808,126.935,6xp1u6ZEHXX8DxJIFFrVoP,131000,4,Jorja Smith,Little Things x Gypsy Woman - L BEATS MASHUP
42,0.808,0.789,7,-5.88,0,0.236,0.0517,0.0,0.0819,0.465,136.01,7qLr3HMApUbyDkUvgIvHnB,185333,4,Young Thug,Oh U Went (feat. Drake)
43,0.759,0.567,2,-7.911,1,0.248,0.118,0.0278,0.105,0.421,87.981,11xC6P3iKYpFThT6Ce1KdG,277044,4,Doja Cat,Attention
44,0.788,0.649,2,-9.674,1,0.0532,0.253,0.0136,0.12,0.229,113.009,2kaH2Z8ezDUKf6fNw250rZ,169912,4,Davido,UNAVAILABLE (feat. Musa Keys)
45,0.646,0.743,11,-4.572,0,0.338,0.147,0.0,0.101,0.891,151.314,40EXFgNMOIQRQOwJZ8mJkC,208917,5,J Hus,Who Told You (feat. Drake)
46,0.92,0.682,1,-4.82,1,0.368,0.339,2.08e-06,0.112,0.697,140.071,2VjOTvl50tscmc0RDjPdr2,198027,4,Dave,UK Rap
47,0.6,0.567,9,-7.269,0,0.033,0.00621,8.73e-06,0.495,0.0951,119.043,4VMRsbfZzd3SfQtaJ1Wpwi,268235,4,The Weeknd,Double Fantasy (with Future)
48,0.731,0.667,7,-7.928,0,0.0815,0.134,0.0,0.114,0.485,123.042,1xWkeSPhf3bZqHY7Ncz8vp,144390,4,Lil Tecca,500lbs
49,0.722,0.579,0,-6.339,0,0.15,0.0952,0.0,0.261,0.544,157.001,7kSBvPr9it26XjylB5LJkx,174296,4,Polo G,Barely Holdin' On
50,0.715,0.567,1,-4.481,0,0.0865,0.06,0.0,0.0655,0.332,160.098,0lodMO0qK83vfPiiD7FMEt,223174,4,Travis Scott,TOPIA TWINS (feat. Rob49 & 21 Savage)
51,0.358,0.363,8,-10.559,1,0.034,0.786,7.04e-06,0.142,0.173,151.15,5ye1TParxcolbnNsOXO8qE,175875,3,d4vd,Sleep Well
52,0.938,0.606,6,-6.396,0,0.419,0.117,0.0,0.528,0.706,121.108,5BmB3OaQyYXCqRyN8iR2Yi,123673,4,NLE Choppa,SLUT ME OUT
53,0.715,0.681,10,-4.25,0,0.113,0.129,0.0,0.152,0.277,84.924,1vvcEHQdaUTvWt0EIUYcFK,175802,4,Kodak Black,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)"
54,0.869,0.557,11,-7.112,0,0.384,0.577,0.0,0.139,0.629,124.927,7LTCmtMpf3JPfBE8gAl64z,230836,4,Quavo,Turn Yo Clic Up (feat. Future)
55,0.768,0.74,0,-6.595,1,0.336,0.696,6.81e-06,0.23,0.532,141.059,0yUaLqhsVsguBpoOPL4cO7,129362,4,Ice Spice,In Ha Mood
56,0.731,0.744,1,-5.77,0,0.174,0.109,0.0,0.123,0.727,171.859,1O8zCu3dLLPxkbGfIsbRgE,223344,4,Doechii,What It Is (Block Boy) (with Kodak Black)
57,0.719,0.756,5,-5.392,0,0.0761,0.0541,0.0,0.109,0.647,105.024,25Kyv5SeEenT0EETpP2hYn,219500,4,Victony,"Soweto (with Don Toliver, Rema & Tempoe)"
58,0.777,0.604,9,-4.452,0,0.0397,0.000713,5.64e-05,0.151,0.121,111.998,2Hc1LaV6bzFil3dE71eORA,207836,4,Lil Uzi Vert,Aye (feat. Travis Scott)
59,0.684,0.63,10,-6.143,0,0.0589,0.0171,0.000927,0.194,0.177,149.947,11B7WTuoInwUvuP1BnnGWW,218264,4,Yeat,bigger thën everything
60,0.767,0.662,5,-4.856,0,0.0578,0.103,0.0,0.123,0.259,143.943,3OGCNLxpBmTYRxPZg2yDE5,193333,4,Gunna,back to the moon
61,0.849,0.614,1,-7.323,1,0.317,0.0282,0.0,0.0603,0.472,111.363,6c6WmIHcHlhccEwSFBhzNa,185748,5,Latto,Put It On Da Floor Again (feat. Cardi B)
62,0.777,0.701,6,-6.13,0,0.167,0.615,1.03e-06,0.0843,0.836,137.054,3Iy4j2lCqW8BXGkFk21U6F,187058,4,Ninho,Eurostar (feat. Central Cee)
63,0.706,0.648,8,-6.348,1,0.324,0.505,0.0,0.215,0.802,77.533,6OfOzTitafSnsaunQLuNFw,161041,4,"Tyler, The Creator",DOGTOOTH
64,0.713,0.59,2,-8.651,0,0.196,0.348,1.99e-06,0.123,0.578,138.065,7EO5oDxrq2dvYDgBjFvFYY,225137,4,No Limit,LA RUE
65,0.731,0.605,1,-5.01,1,0.19,0.067,7.7e-06,0.177,0.413,132.946,41bmnQZoDMQdDh5zyomtW7,216704,4,Lil Uzi Vert,Endless Fashion (feat. Nicki Minaj)
66,0.896,0.581,11,-6.293,1,0.242,0.0334,0.0,0.0941,0.544,133.957,6dNOefmb6Lgl5vNtJsSajt,164776,4,Moneybagg Yo,Ocean Spray
67,0.931,0.401,0,-8.756,1,0.158,0.399,2.05e-06,0.266,0.613,128.871,3FjK86616FbluOfTxNK2gY,148928,4,Sleepy Hallow,A N X I E T Y (feat. Doechii)
68,0.767,0.61,0,-4.545,1,0.177,0.165,0.0939,0.186,0.415,148.129,3PvChJcbDMKFCQppIRYQo9,207507,4,Doja Cat,Balut
69,0.544,0.496,0,-12.032,1,0.21,0.13,0.0,0.166,0.314,103.148,3kfhS2L56Wj8fBcu7xE47H,203442,5,Rod Wave,Turks & Caicos (feat. 21 Savage)
70,0.745,0.877,5,-2.649,0,0.173,0.455,0.0,0.0732,0.852,120.015,0B1xarnfKvUFWUoFdQnooq,189012,4,A$AP Rocky,RIOT (Rowdy Pipe'n)
71,0.939,0.521,1,-7.468,1,0.379,0.195,0.0,0.201,0.515,124.995,4EzkcqltSOxYE2lstuLOFs,133000,4,Toosii,Pull Up (feat. 21 Savage)
72,0.629,0.744,5,-6.124,0,0.0409,0.0769,0.247,0.194,0.451,89.021,0CrcwVLUe8wzLUIXgjXVZJ,175837,4,SZA,Kill Bill (feat. Doja Cat)
73,0.536,0.814,1,-5.407,1,0.306,0.0388,0.0,0.142,0.851,96.7,2dSKFFNoNXKo3hPnlwUdPe,113292,4,Jack Harlow,They Don't Love It
74,0.783,0.768,11,-8.471,0,0.157,0.00198,0.0,0.171,0.267,143.071,3FhZPYvMGSjFc6boVYKlCv,124806,4,DaBaby,SHAKE SUMN
75,0.851,0.642,1,-5.281,1,0.216,0.0658,0.0,0.0713,0.701,143.091,7iTTWHbr4tAlsRJN4m4bay,148115,4,Lil Yachty,Strike (Holster)
76,0.788,0.708,1,-4.615,1,0.108,0.12,9.4e-06,0.0985,0.598,105.006,5YEVBJnnt2qMM67NGCjEdV,212000,4,Oxlade,INTOXYCATED (feat. Dave)
77,0.734,0.648,4,-5.509,1,0.173,0.124,0.0,0.215,0.672,97.984,141y1FjVBV5IY7Mlvw5poL,222640,4,Burna Boy,Cheat On Me (feat. Dave)
78,0.814,0.606,1,-6.378,1,0.243,0.0166,0.0,0.125,0.208,150.005,1h6w4POXM2LfG4ZD4xUfZQ,204800,4,Baby Keem,The Hillbillies
79,0.634,0.538,0,-9.213,1,0.0603,0.0514,0.0,0.099,0.152,168.029,7l6nGz4gp6HGs5Cvmdeqe4,160714,5,Rod Wave,Fight The Feeling
80,0.481,0.797,6,-4.094,0,0.201,0.404,0.0,0.368,0.495,96.237,410ZZP746AQeiywhKvXWCo,206050,3,"Tyler, The Creator",SORRY NOT SORRY
81,0.481,0.539,4,-7.865,0,0.108,0.551,0.00539,0.12,0.621,153.277,1o8Z7GD1CeOaVBEyuzu4HO,186678,4,Victoria Monét,On My Mama
82,0.849,0.581,6,-5.464,0,0.261,0.0178,0.0,0.092,0.274,142.015,1IzJxbARcQrOWMZgPw1PNj,217610,4,Lil Baby,Go Hard
83,0.681,0.71,11,-6.643,0,0.0574,0.155,3.02e-05,0.367,0.254,89.957,7g6FlLHxbVqMi1s7S8tDTp,188505,4,Chris Brown,Summer Too Hot
84,0.786,0.698,1,-4.697,1,0.0976,0.0175,0.0,0.194,0.168,154.954,293QwzG48nRXlqk5lGDUbw,142452,4,Moneybagg Yo,Keep It Low (feat. Future)
85,0.758,0.66,8,-6.799,0,0.0756,0.038,0.0,0.175,0.551,90.02,7CIvyuVoWcY0LgUYa1aR5J,149333,4,Lil Yachty,SOLO STEPPIN CRETE BOY
86,0.822,0.843,1,-4.308,1,0.0407,0.00699,1.09e-06,0.26,0.631,136.004,1OaAlsbTJugFODycEgIDUj,169412,4,Mike WiLL Made-It,Blood Moon (feat. Lil Uzi Vert)
87,0.789,0.839,8,-4.24,1,0.0589,0.0321,0.00476,0.108,0.656,98.021,4L4m2mgZDF8KIkJPdWWIAf,159372,4,Burna Boy,Sittin' On Top Of The World
88,0.637,0.634,2,-8.126,1,0.426,0.174,0.0,0.149,0.49,178.037,6IEXjer2qbXhRLFv99NQQv,194048,4,Sexyy Red,Pound Town 2 (feat. Nicki Minaj & Tay Keith)
89,0.755,0.642,1,-6.009,1,0.262,0.0141,0.000252,0.171,0.322,141.893,2cEklOsQ4yr4SgtXZtHwvN,178399,4,Luciano,Mami (feat. BIA)
90,0.676,0.608,9,-4.972,0,0.0329,0.213,0.0,0.104,0.118,119.993,6cViXqp01e3FrAaseuiSAV,262230,4,The Weeknd,"False Idols (with Lil Baby, Suzanna Son)"
91,0.843,0.78,6,-7.182,0,0.212,0.0836,0.00086,0.0819,0.652,134.962,1javLzBHyEKJJrG3s6FHaM,204600,4,Jorja Smith,Little Things
92,0.85,0.622,5,-8.957,1,0.378,0.435,0.0,0.103,0.875,153.875,72bWarcvDzWp9aAsUWnVpq,174545,4,D-Block Europe,Pakistan
93,0.511,0.446,5,-7.299,0,0.0293,0.249,0.0,0.248,0.216,69.505,2soZTM1x1GBiQGMAsXKXpd,219134,4,Halle,Angel
94,0.914,0.505,9,-6.77,0,0.31,0.227,2.73e-06,0.132,0.54,102.937,5zq5fYXIE7X842DD5HBiiB,176453,4,Burna Boy,Talibans II
95,0.818,0.51,2,-7.05,0,0.408,0.209,0.0,0.211,0.416,129.057,3lcfs9Qjfxzy00VSVkixDv,173026,4,Lil Uzi Vert,I Gotta
96,0.571,0.212,5,-16.206,1,0.044,0.56,0.28,0.0742,0.39,94.164,4HISFDmENrT1reZ5nMUe4l,260220,4,PARTYNEXTDOOR,R e s e n t m e n t
97,0.644,0.504,2,-8.145,1,0.162,0.237,2.55e-06,0.138,0.302,94.04,2mNaugzeRDyAq991bw4nqv,144344,4,Lil Tjay,Stressed (feat. Summer Walker)
98,0.678,0.483,1,-7.956,1,0.422,0.00361,0.0,0.109,0.12,160.156,1hS8xbWKEifaf0VuFpIY69,148302,4,Gucci Mane,Bluffin (feat. Lil Baby)
99,0.87,0.746,11,-6.098,0,0.0711,0.188,0.0134,0.2,0.702,140.943,1iOdhNBdePXR632DhYZVO2,159560,4,Doechii,Booty Drop
100,0.685,0.99,9,-2.925,1,0.0941,0.23,0.0637,0.28,0.335,92.011,2jpP28PW7OAQpwmMahWWzV,170000,4,RL Grime,Street Sweeper (feat. 1nonly)
101,0.757,0.537,10,-7.735,0,0.2,0.625,0.609,0.588,0.238,90.007,4kOSVEawzGapM7n7YsFHv5,221849,4,Tripp St.,Dreamchaser
102,0.334,0.972,4,-3.312,1,0.157,0.000562,0.806,0.486,0.214,159.864,5rUGAtxb5f0iUTKC3nRUPB,238500,4,Deadcrow,INTERCEPTOR
103,0.42,0.733,0,-5.882,1,0.0476,0.0165,3.01e-06,0.0842,0.222,149.785,3l5bgBsTb7lx6p72oJ9BWD,301200,4,Au5,Waiting
104,0.649,0.833,1,-4.388,1,0.0303,7.14e-05,0.897,0.0872,0.3,145.044,2lPwh9FMLfYWzJ6xuChldE,233644,4,Mt. Eden,Still Alive - Skeler Remix
105,0.547,0.996,6,-6.521,0,0.0934,0.338,0.94,0.861,0.4,134.031,1uMTo8Z57rqdwlamTWTDEA,168358,4,Limbo Slice,Implant (VIP)
106,0.677,0.891,9,-3.29,1,0.0582,0.00615,0.0404,0.108,0.324,145.023,61l5AiygB8vP6u28WqXozT,190349,4,Arya,LIE
107,0.848,0.731,3,-2.978,0,0.287,0.0275,0.16,0.122,0.336,95.009,75dMcFgILtaYy5aTPgxaiJ,188064,4,Floret Loret,Bloodstone
108,0.394,0.616,7,-5.953,0,0.127,0.43,0.0,0.111,0.114,118.585,6a0XyDhUU6jfOavzXOik7j,141333,5,Yonexx,Burn
109,0.664,0.824,1,-4.529,0,0.0885,0.00721,0.021,0.213,0.173,145.061,2KUlPVz7UTeOh11er0lYRI,147310,4,Kozmoz,Feel Nothing
110,0.479,0.665,10,-6.875,1,0.0329,0.0123,0.0556,0.306,0.0349,109.96,011NgdzyPOGVy5WDmL6mZF,185442,4,Tripp St.,Superstitious
111,0.652,0.929,0,-4.894,1,0.0453,0.124,0.809,0.0642,0.297,124.967,3vSYhCUWQ9K1OaUEjQBqfk,104760,4,THIRST,GET IN THE CAR
112,0.6,0.985,5,-2.63,1,0.439,0.00282,0.777,0.747,0.0393,160.001,0rb01yH3Rl9IrEex1RD5s2,202875,4,MAYKO,ACID
113,0.458,0.745,9,-3.934,0,0.157,0.18,2.61e-05,0.67,0.271,149.913,5c27MdKM2FFQMW8eEJy63e,197258,4,RL Grime,Borderline (feat. EMELINE)
114,0.581,0.808,2,-5.736,0,0.117,0.00504,0.000251,0.532,0.141,130.015,15gYa2Z7qWBdss9NctDzBl,370213,4,Seven Lions,Higher Love - Extended Mix
115,0.508,0.793,5,-5.57,0,0.0264,0.0148,0.000487,0.0938,0.382,81.995,1DI3V4MDdJ8nHbX18kGKD7,181348,4,Jayceeoh,Million Places
116,0.647,0.799,9,-6.195,1,0.0355,0.0193,0.827,0.154,0.142,129.993,26WXziJTdhOjZI8pJhb3xM,183231,4,No Complaints,Losing My Breath
117,0.458,0.616,7,-5.987,1,0.0479,0.00276,0.0021,0.132,0.125,89.938,0ftStcrLIySjmugOmJGZqL,177333,4,Culture Code,Rest Of My Life
118,0.755,0.853,1,-4.633,0,0.356,0.0354,7.09e-06,0.063,0.426,99.988,4gWvFjp9fFZ77mOW5FUaDh,165675,4,Fabian Mazur,LOUD
119,0.599,0.832,8,-4.114,1,0.0484,0.00192,0.000941,0.215,0.4,110.02,54sEjr0FU2YTPbEliJ1YPh,144138,4,Slowboy,ASTRO
120,0.594,0.972,1,-1.864,1,0.0511,0.00376,0.3,0.11,0.631,119.974,0KdoTAngJ728OfFxKYuerL,130000,4,Maikubi,Getting Ripped
121,0.473,0.938,11,-3.086,0,0.145,0.0664,6.86e-06,0.31,0.201,75.015,7gXpLUgJfhSyz6pIZ5qrLV,179200,4,Deadcrow,EMBERLIGHT
122,0.334,0.934,6,-3.203,0,0.13,0.00234,0.000664,0.103,0.13,129.697,7Fe1RYYpcBjl25q2LBpoyU,214962,4,Vanic,Sold My Soul
123,0.54,0.601,3,-7.156,0,0.0624,0.0788,0.000402,0.109,0.199,149.631,66jqMuVP07LbjijnIw7d5Z,219200,4,Rival,Odd One Out
124,0.684,0.905,6,-3.965,1,0.0644,0.0301,0.0134,0.248,0.874,150.047,5nID0M0w6ihGoRiwDgPesA,171200,4,Carl Nunes,Presentes
125,0.562,0.978,2,-2.427,0,0.0339,0.0237,0.776,0.0436,0.28,150.017,39glm8XOI4voabwF3HwQ4j,228000,4,hyperforms,INERTIA
126,0.721,0.933,0,-6.483,1,0.0914,0.00792,0.0109,0.392,0.331,150.028,6xaX8stKRUEzymtNjIrfDq,164000,4,ALEKO,GO GO - Koya Remix
127,0.597,0.555,7,-10.91,0,0.0427,0.00143,0.732,0.787,0.0964,140.004,1fhKhrASaHlbi6Y00pPNa4,288000,4,Monty,Argentique
128,0.51,0.931,9,1.149,1,0.0487,0.129,0.164,0.315,0.211,144.0,63hiBgjaITEHIMGTKSEig8,153707,4,KILL FEED,MEMORIES!
129,0.634,0.824,7,-6.697,0,0.0298,0.177,0.0157,0.283,0.558,149.998,7bRlwGdsrnAWtSTwI69JjR,291200,4,ETHNO,Leaf Water
130,0.572,0.769,10,-5.728,0,0.0769,0.0823,0.00117,0.106,0.148,146.533,4SqCGQnUfGr0PWe2cxOIE2,171020,4,smol,Poppin'
131,0.519,0.65,11,-11.536,0,0.109,0.407,0.865,0.16,0.738,94.179,49xVYRohos3yfT19Vz1lM7,193772,4,BALTHVS,In Lust
132,0.646,0.915,11,-2.895,1,0.186,0.0105,0.0,0.211,0.403,170.105,6K6mqsHptSHwFpEQlqrgZs,185647,4,DJ Fixx,In My New Whip - Original Mix
133,0.709,0.723,1,-7.87,0,0.0463,0.00332,0.808,0.0406,0.394,160.018,2lJKk3W93m6VAkTqEoydV6,221007,4,A.Fruit,2036 VIP
134,0.621,0.98,6,-2.764,1,0.056,0.0223,0.839,0.0766,0.229,130.019,5x2FToE9OYtZt1McsqhiFY,228923,4,JAWNS,Starfire
135,0.633,0.606,4,-7.715,0,0.0303,0.0766,0.000452,0.131,0.132,126.011,3t7VsYOzuiAl1inz2ftVFV,211707,4,Manni Dee,Frowzy
136,0.535,0.793,11,-3.993,1,0.173,0.115,2.95e-05,0.078,0.0683,144.115,4oyQFA7BnwLUPFFk8ptNOa,208333,4,RIOT,Sold My Soul
137,0.659,0.528,4,-8.68,0,0.132,0.0424,0.515,0.395,0.324,139.722,1hN2DIFMM7fenux7z4MTwF,147629,4,Kowta,All Systems
138,0.776,0.935,6,-6.568,0,0.0753,0.0118,0.885,0.0747,0.138,140.003,2yWnr9o4AvIqNgQqCz064d,152576,4,borne,Power
139,0.484,0.637,6,-6.654,1,0.0722,0.0945,6.18e-06,0.0944,0.27,142.183,0AkGi4EIY8Us6DpRfXSun8,267042,4,HALIENE,Hollow - Danny Olson Remix
140,0.525,0.929,8,-3.128,1,0.0574,0.0554,0.00506,0.0997,0.335,150.167,197L1D0ST9UAIJQd2jLIqd,224000,4,Macsen,I THINK U KNOW
141,0.552,0.53,8,-6.555,1,0.279,0.041,0.293,0.553,0.843,145.03,7CGB43FkEomSXAtnTNLC9n,159310,4,TroyBoi,Zurna
142,0.444,0.861,1,-2.562,0,0.0416,0.00526,0.0,0.166,0.419,87.43,34C45KiHVYi8bp1hg4FnlJ,260914,4,KEPIK,Sorry to Say
143,0.716,0.664,0,-5.065,1,0.0457,0.00147,0.919,0.0892,0.328,100.018,3cMH0kXZxQU6yulOUE6sCi,194400,4,Low End Hustler,Savage
144,0.732,0.437,9,-4.908,1,0.0459,0.341,0.00048,0.135,0.122,119.988,3bMbXdOSCN1KSQVrEoTzp9,176000,4,GAWM,Forever
145,0.819,0.815,7,-4.54,1,0.0791,0.0564,0.0114,0.0802,0.674,95.009,4CSbEhNgvWn0oCTrROFOFB,141474,4,Andrekza,Matadora (feat. Nakary)
146,0.656,0.889,7,-1.971,1,0.262,0.0224,0.0,0.5,0.437,146.954,2tSi83cOo4S6XRuAhoNSMK,185357,4,Apashe,Fracture
147,0.367,0.828,4,-4.865,0,0.0935,0.00382,0.00118,0.473,0.223,149.995,0gOvx9JiQghMu5MmduOsJ5,173003,4,Dino Shadix,What It Feels Like - Gemunji Remix
148,0.775,0.899,9,-2.463,0,0.061,0.0816,7.38e-05,0.628,0.685,130.026,2PzotD3c1kEvk1xxGrvPj4,132923,4,Boombox Cartel,Back Again
149,0.39,0.7,1,-5.741,0,0.0407,0.00119,0.00269,0.204,0.0783,89.996,5tkIlZJ0rIGFpNg0q94H10,287000,4,Au5,Before You Leave
150,0.608,0.985,7,-0.961,0,0.054,0.00311,0.00579,0.387,0.296,150.036,0yUs4kfYFLWI72EOhhtNyI,145600,4,Dion Timmer,Kibo
151,0.634,0.732,0,-7.646,0,0.0522,0.0811,0.0233,0.148,0.237,139.931,7zhJi0WomWKK1GH9coQAFO,117429,4,Tropkillaz,Kurumi Kaluana
152,0.532,0.954,8,-2.023,1,0.059,0.0353,0.586,0.198,0.502,170.067,5j2uk2UT56RWGbrLiAEldr,232800,4,Cerdin,GASLEAK
153,0.716,0.964,2,-4.787,1,0.132,0.0151,0.0413,0.695,0.226,100.028,4hqF46oRXqePhKiNlmPuoT,182400,4,BLXK MNTN,LSDP
